eyeX,eyeY,eyeZ,timestamp
-2.2,3.5,5,0
-2.2,3.5,5,0.02
-2.2,3.5,5,0.3533334
-2.2,3.5,5,0.3792633
-2.2,3.5,5,0.386226
-2.2,3.5,5,0.3927647
-2.2,3.5,5,0.3989663
-2.2,3.5,5,0.4111465
-2.2,3.5,5,0.4183946
-2.2,3.5,5,0.4253163
-2.2,3.5,5,0.4315483
-2.2,3.5,5,0.4374992
-2.2,3.5,5,0.4440845
-2.2,3.5,5,0.4507855
-2.2,3.5,5,0.4571265
-2.2,3.5,5,0.4639372
-2.2,3.5,5,0.4798364
-2.2,3.5,5,0.4856523
-2.2,3.5,5,0.6053849
-2.2,3.5,5,0.6272709
-2.2,3.5,5,0.6369504
-2.2,3.5,5,0.6454881
-2.2,3.5,5,0.6540294
-2.2,3.5,5,0.6620331
-2.2,3.5,5,0.6707008
-2.2,3.5,5,0.6808294
-2.2,3.5,5,0.688933
-2.2,3.5,5,0.6956766
-2.2,3.5,5,0.7026511
-1.7,3.5,5,0.7101136
-1.7,3.5,5,0.7345182
-1.7,3.5,5,0.7416668
-1.7,3.5,5,0.7476525
-1.7,3.5,5,0.7538047
-1.7,3.5,5,0.7605804
-1.7,3.5,5,0.7740293
-1.7,3.5,5,0.7816658
-1.7,3.5,5,0.7898633
-1.7,3.5,5,0.7974391
-1.7,3.5,5,0.8053863
-1.7,3.5,5,0.813178
-1.7,3.5,5,0.8223588
-1.7,3.5,5,0.8299326
-1.7,3.5,5,0.8372849
-1.7,3.5,5,0.8445539
-1.7,3.5,5,0.8518021
-1.7,3.5,5,0.8577732
-1.7,3.5,5,0.864816
-1.7,3.5,5,0.8729823
-1.7,3.5,5,0.8814909
-1.7,3.5,5,0.8886592
-1.7,3.5,5,0.8960423
-1.7,3.5,5,0.9029285
-1.7,3.5,5,0.9110194
-1.7,3.5,5,0.9258346
-1.7,3.5,5,0.9349179
-1.7,3.5,5,0.9412127
-1.7,3.5,5,0.9479097
-1.7,3.5,5,0.9551736
-1.7,3.5,5,0.9619989
-1.7,3.5,5,0.9696912
-1.7,3.5,5,0.9769223
-1.7,3.5,5,0.9842529
-1.7,3.5,5,0.9907482
-1.7,3.5,5,0.9974512
-1.7,3.5,5,1.116075
-1.7,3.5,5,1.130138
-1.7,3.5,5,1.137319
-1.7,3.5,5,1.143095
-1.7,3.5,5,1.157579
-1.7,3.5,5,1.164261
-1.7,3.5,5,1.170847
-1.7,3.5,5,1.177674
-1.7,3.5,5,1.183784
-1.7,3.5,5,1.189871
-1.7,3.5,5,1.19664
-1.7,3.5,5,1.202644
-1.7,3.5,5,1.208409
-1.7,3.5,5,1.214416
-1.7,3.5,5,1.220404
-1.7,3.5,5,1.226947
-1.7,3.5,5,1.233136
-1.7,3.5,5,1.23942
-1.7,3.5,5,1.245917
-1.7,3.5,5,1.254564
-1.7,3.5,5,1.262411
-1.7,3.5,5,1.268559
-1.7,3.5,5,1.279741
-1.7,3.5,5,1.286316
-1.7,3.5,5,1.292202
-1.7,3.5,5,1.298084
-1.7,3.5,5,1.304228
-1.7,3.5,5,1.310237
-1.7,3.5,5,1.316409
-1.7,3.5,5,1.323466
-1.7,3.5,5,1.329461
-1.7,3.5,5,1.335811
-1.7,3.5,5,1.34182
-1.7,3.5,5,1.348006
-1.7,3.5,5,1.354136
-1.7,3.5,5,1.360362
-1.7,3.5,5,1.36755
-1.7,3.5,5,1.373491
-1.7,3.5,5,1.379336
-1.7,3.5,5,1.385876
-1.7,3.5,5,1.39212
-1.7,3.5,5,1.398039
-1.7,3.5,5,1.404342
-1.2,3.5,5,1.410452
-1.2,3.5,5,1.417025
-1.2,3.5,5,1.423475
-1.2,3.5,5,1.435192
-1.2,3.5,5,1.442891
-1.2,3.5,5,1.449369
-1.2,3.5,5,1.455367
-1.2,3.5,5,1.461512
-1.2,3.5,5,1.467628
-1.2,3.5,5,1.474207
-1.2,3.5,5,1.480446
-1.2,3.5,5,1.486937
-1.2,3.5,5,1.492723
-1.2,3.5,5,1.499223
-1.2,3.5,5,1.507223
-1.2,3.5,5,1.513072
-1.2,3.5,5,1.636371
-1.2,3.5,5,1.652353
-1.2,3.5,5,1.65864
-1.2,3.5,5,1.664985
-1.2,3.5,5,1.671143
-1.2,3.5,5,1.676993
-1.2,3.5,5,1.682873
-1.2,3.5,5,1.689852
-1.2,3.5,5,1.69652
-1.2,3.5,5,1.702513
-1.2,3.5,5,1.708429
-1.2,3.5,5,1.714424
-1.2,3.5,5,1.720559
-1.2,3.5,5,1.726942
-1.2,3.5,5,1.732958
-1.2,3.5,5,1.73877
-1.2,3.5,5,1.744956
-1.2,3.5,5,1.751415
-1.2,3.5,5,1.757155
-1.2,3.5,5,1.762921
-1.2,3.5,5,1.769052
-1.2,3.5,5,1.775495
-1.2,3.5,5,1.781386
-1.2,3.5,5,1.787552
-1.2,3.5,5,1.799634
-1.2,3.5,5,1.806273
-1.2,3.5,5,1.812111
-1.2,3.5,5,1.818071
-1.2,3.5,5,1.82444
-1.2,3.5,5,1.830459
-1.2,3.5,5,1.837215
-1.2,3.5,5,1.844588
-1.2,3.5,5,1.85086
-1.2,3.5,5,1.856909
-1.2,3.5,5,1.863782
-1.2,3.5,5,1.870349
-1.2,3.5,5,1.876204
-1.2,3.5,5,1.882154
-1.2,3.5,5,1.888441
-1.2,3.5,5,1.895253
-1.2,3.5,5,1.903345
-1.2,3.5,5,1.910003
-1.2,3.5,5,1.917926
-1.2,3.5,5,1.92504
-1.2,3.5,5,1.931885
-1.2,3.5,5,1.938778
-1.2,3.5,5,1.952341
-1.2,3.5,5,1.95989
-1.2,3.5,5,1.966508
-1.2,3.5,5,1.973444
-1.2,3.5,5,1.980442
-1.2,3.5,5,1.986897
-1.2,3.5,5,1.993698
-1.2,3.5,5,2.000663
-1.2,3.5,5,2.008057
-1.2,3.5,5,2.015472
-1.2,3.5,5,2.022804
-1.2,3.5,5,2.149267
-0.7,3.5,5,2.165472
-0.7,3.5,5,2.173446
-0.7,3.5,5,2.180722
-0.7,3.5,5,2.188478
-0.7,3.5,5,2.195394
-0.7,3.5,5,2.202673
-0.7,3.5,5,2.210076
-0.7,3.5,5,2.217066
-0.7,3.5,5,2.224768
-0.7,3.5,5,2.232866
-0.7,3.5,5,2.239817
-0.7,3.5,5,2.247249
-0.7,3.5,5,2.254104
-0.7,3.5,5,2.261353
-0.7,3.5,5,2.268295
-0.7,3.5,5,2.274644
-0.7,3.5,5,2.282661
-0.7,3.5,5,2.289075
-0.7,3.5,5,2.295489
-0.7,3.5,5,2.302125
-0.7,3.5,5,2.315061
-0.7,3.5,5,2.321898
-0.7,3.5,5,2.328719
-0.7,3.5,5,2.335678
-0.7,3.5,5,2.342033
-0.7,3.5,5,2.349167
-0.7,3.5,5,2.357807
-0.7,3.5,5,2.365931
-0.7,3.5,5,2.376888
-0.7,3.5,5,2.384105
-0.7,3.5,5,2.391106
-0.7,3.5,5,2.397719
-0.7,3.5,5,2.404836
-0.7,3.5,5,2.411728
-0.7,3.5,5,2.418468
-0.7,3.5,5,2.425648
-0.7,3.5,5,2.431988
-0.7,3.5,5,2.449731
-0.7,3.5,5,2.458685
-0.7,3.5,5,2.47254
-0.7,3.5,5,2.48012
-0.7,3.5,5,2.486674
-0.7,3.5,5,2.493211
-0.7,3.5,5,2.500325
-0.7,3.5,5,2.506766
-0.7,3.5,5,2.514046
-0.7,3.5,5,2.520574
-0.7,3.5,5,2.527693
-0.7,3.5,5,2.534945
-0.7,3.5,5,2.542158
-0.7,3.5,5,2.663075
-0.7,3.5,5,2.678968
-0.7,3.5,5,2.68602
-0.7,3.5,5,2.692836
-0.7,3.5,5,2.699681
-0.7,3.5,5,2.707029
-0.7,3.5,5,2.713826
-0.7,3.5,5,2.721665
-0.7,3.5,5,2.728697
-0.7,3.5,5,2.736038
-0.7,3.5,5,2.742459
-0.7,3.5,5,2.74905
-0.7,3.5,5,2.755543
-0.7,3.5,5,2.763885
-0.7,3.5,5,2.770903
-0.7,3.5,5,2.777972
-0.7,3.5,5,2.784716
-0.7,3.5,5,2.791439
-0.7,3.5,5,2.798309
-0.7,3.5,5,2.805197
-0.7,3.5,5,2.811854
-0.7,3.5,5,2.818922
-0.7,3.5,5,2.833761
-0.7,3.5,5,2.841539
-0.7,3.5,5,2.848434
-0.7,3.5,5,2.856728
-0.2,3.5,5,2.863887
-0.2,3.5,5,2.873215
-0.2,3.5,5,2.880581
-0.2,3.5,5,2.887437
-0.2,3.5,5,2.89446
-0.2,3.5,5,2.901565
-0.2,3.5,5,2.908489
-0.2,3.5,5,2.915776
-0.2,3.5,5,2.92299
-0.2,3.5,5,2.929295
-0.2,3.5,5,2.936111
